"PrimaryCoilWidth [mm]","Matrix1.L(Group1,Group1) [uH]"
2.5,3.45515584354778
3,3.43269253857429
3.5,3.41150212866983
4,3.39671220020609
4.5,3.36830890029414
5,3.35106292450051
5.5,3.32906953925649
6,3.30868564845712
6.5,3.29081660415179
7,3.27276763116127
7.5,3.25228405255464
8,3.23606316680879
8.5,3.21765806227206
9,3.19720032211194
9.5,3.17686118751547
10,3.15761240952375
10.5,3.13914574697903
